,K-Means,OPTICS (косинусное расcтояние),OPTICS (евклидово раcстояние)
киви_NOUN,0,-1,0
смородина_NOUN,0,0,0
лиса_NOUN,1,-1,0
лисичка_NOUN,0,-1,0
ара_NOUN,1,-1,0
клубника_NOUN,0,0,0
земляника_NOUN,0,0,0
малина_NOUN,0,0,0
черника_NOUN,0,0,0
ежевика_NOUN,0,0,0
огурец_NOUN,0,0,0
облепиха_NOUN,0,0,0
перец_NOUN,0,0,0
яблоко_NOUN,0,0,0
черешня_NOUN,0,0,0
крыжовник_NOUN,0,0,0
мандарин_NOUN,0,-1,0
мандаринка_NOUN,1,-1,0
ворон_NOUN,1,-1,0
сорока_NOUN,1,-1,0
беркут_NOUN,1,-1,0
орел_NOUN,1,-1,0
сокол_NOUN,1,-1,0
страус_NOUN,1,-1,0
эму_NOUN,1,-1,0
голубь_NOUN,1,-1,0
трясогузка_NOUN,1,-1,0
казуар_NOUN,1,-1,0
